Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60
2026-06-25 09:15:00+05:30,BRITANNIA,-0.1613,0.0664,0.5468,5277.0,5257.5,19.5,0.3705,0.0855,-0.0032,0.1899,0.0955,0.1329,0.4936,0.0,-0.0759,-0.0095,0.2284
2026-06-29 09:15:00+05:30,BRITANNIA,-0.0382,-0.0096,2.5811,5244.0,5192.5,51.5,0.9841,0.6402,-0.2398,0.3297,-0.6817,0.702,0.5866,0.25,-0.6781,-0.6876,-0.5547
2026-05-05 09:15:00+05:30,CIPLA,0.2996,0.0075,0.8487,1339.4,1326.1,13.3,0.9933,0.9335,-0.3131,0.3527,-0.1864,-0.2186,-0.3995,-0.4674,-0.6367,-0.6293,-0.4876
2026-05-06 09:15:00+05:30,CIPLA,0.7519,-0.2101,1.062,1343.0,1333.1,9.9,0.7388,0.2239,-0.0523,0.343,0.6191,0.0898,0.0,0.6208,0.5263,0.3151,0.4432
2026-05-07 09:15:00+05:30,CIPLA,0.5209,0.0734,1.386,1374.0,1366.0,8.0,0.5839,0.146,-0.0974,0.3394,0.5568,0.2924,0.0365,0.7164,0.3742,0.4479,0.1831
2026-05-08 09:15:00+05:30,CIPLA,-0.5869,0.0367,1.077,1366.7,1352.0,14.7,1.0849,0.369,0.0319,0.3199,-0.5362,-0.5662,-0.4706,-0.0735,-0.2201,-0.1835,-0.5703
2026-05-11 09:15:00+05:30,CIPLA,-0.0742,0.156,0.8199,1350.0,1332.6,17.4,1.2918,0.3563,0.0447,0.4076,-0.5766,-0.4917,-0.7003,-0.4247,-0.4303,-0.2749,-0.563
2026-05-12 09:15:00+05:30,CIPLA,-0.0689,0.0077,1.1929,1307.0,1291.7,15.3,1.1728,0.6669,-0.1772,0.5528,-1.5862,0.5479,0.5942,0.1775,-0.7354,-0.7277,-1.0763
2026-05-13 09:15:00+05:30,CIPLA,-1.1285,0.1548,2.4216,1301.0,1275.9,25.1,1.9623,0.9851,0.168,0.4778,-0.6481,0.8129,1.1767,2.3225,-0.1546,0.0,-0.7377
2026-05-14 09:15:00+05:30,CIPLA,2.4365,-0.2849,9.1256,1432.1,1362.2,69.9,5.1314,2.7749,0.1359,1.5913,5.0069,-0.2643,1.1429,1.2357,5.279,4.979,5.1288
2026-05-15 09:15:00+05:30,CIPLA,0.1185,-0.1044,0.0873,1444.5,1430.8,13.7,0.9536,0.0487,-0.0765,0.5019,1.0266,-0.0905,-0.1602,-0.0418,0.0697,-0.0348,-0.1807
2026-05-18 09:15:00+05:30,CIPLA,-0.469,-0.3209,1.1521,1430.0,1415.6,14.4,1.0127,0.3235,-0.2533,0.3704,-0.898,0.1129,-0.1129,-0.0141,-0.7909,-1.1093,-1.1645
2026-05-19 09:15:00+05:30,CIPLA,-0.5254,0.0771,0.2823,1426.6,1417.9,8.7,0.6127,0.2465,0.0586,0.3352,-0.3546,-0.4426,-0.1124,-0.3231,-0.2802,-0.2033,-0.2523
2026-05-20 09:15:00+05:30,CIPLA,-1.1923,-0.1205,4.074,1419.6,1392.3,27.3,1.9608,1.8243,0.5556,0.3628,0.1439,0.0705,0.0212,-0.268,0.6103,0.4891,0.2759
2026-05-21 09:15:00+05:30,CIPLA,0.4571,0.0071,0.2765,1410.3,1402.8,7.5,0.5332,0.0711,-0.0498,0.3019,-0.0693,0.5763,0.249,0.249,0.3857,0.3929,0.0213
2026-05-22 09:15:00+05:30,CIPLA,0.8085,-0.1572,0.5675,1409.6,1395.6,14.0,0.9936,0.5891,-0.0903,0.3223,-0.268,-0.1285,-0.0571,-0.1,0.2146,0.0571,-0.2279
2026-05-25 09:15:00+05:30,CIPLA,0.9405,-0.4076,1.115,1407.9,1400.6,7.3,0.5192,0.2916,-0.1116,0.3618,0.0395,-0.1569,0.1926,-0.0785,0.6461,0.236,0.0642
2026-05-26 09:15:00+05:30,CIPLA,-0.0495,0.0991,2.7935,1418.9,1409.6,9.3,0.6578,0.3395,0.2095,0.294,0.6814,0.0141,-0.3313,-0.3524,0.2898,0.3892,-0.0282
2026-05-27 09:15:00+05:30,CIPLA,-0.0775,0.1129,1.1005,1432.0,1417.6,14.4,1.0158,0.5079,0.0,0.2492,0.5514,-0.0211,-0.0772,0.2386,0.43,0.5434,0.4583
2026-05-29 09:15:00+05:30,CIPLA,-0.7736,0.4025,1.5749,1429.2,1411.0,18.2,1.2899,1.0489,0.2672,0.3281,0.2321,-0.8206,-0.6663,-1.1292,0.2672,0.6708,0.1616
2026-06-01 09:15:00+05:30,CIPLA,0.7143,-0.1996,0.3665,1413.6,1395.2,18.4,1.305,1.0071,-0.4091,0.5711,-1.2153,0.043,0.2078,0.8382,-0.3,-0.499,-1.5239
2026-06-02 09:15:00+05:30,CIPLA,-1.0043,0.3239,4.0132,1384.9,1369.3,15.6,1.1304,0.1304,0.0532,0.3991,-1.1863,0.0218,-0.254,-0.4644,-1.1334,-0.8132,-1.1334
2026-06-03 09:15:00+05:30,CIPLA,-0.6503,0.3335,0.3594,1383.0,1366.6,16.4,1.1927,0.4436,-0.2865,0.4394,-0.4537,0.2922,0.7378,0.4018,-1.091,-0.7612,-0.5521
2026-06-04 09:15:00+05:30,CIPLA,-0.4376,-0.3561,1.5881,1375.2,1354.0,21.2,1.5531,0.1758,-0.0978,0.4042,-0.85,0.5211,0.822,1.3283,-0.6127,-0.9666,-1.017
2026-06-05 09:15:00+05:30,CIPLA,-0.5706,0.2646,0.8528,1396.5,1385.8,10.7,0.7676,0.1793,0.0168,0.4127,0.1101,0.2875,-0.0719,0.0216,-0.7489,-0.4863,0.0144
2026-06-08 09:15:00+05:30,CIPLA,-0.3566,0.2144,0.58,1405.0,1389.5,15.5,1.1095,0.4868,0.312,0.3862,0.4192,-0.3419,-0.406,-0.8406,0.1284,0.3431,-0.0427
2026-06-09 09:15:00+05:30,CIPLA,-0.2308,-0.0144,1.2079,1398.8,1383.1,15.7,1.1351,0.535,-0.0216,0.377,-0.046,-0.1294,-0.3164,-0.036,0.303,0.2885,0.144
