Datetime,Symbol,RS_Open,Future_15m,Future_30m,Future_60m,Rank
2026-05-22 14:30:00+05:30,COALINDIA.NS,0.0731,-0.0219,0.0,0.4378,2
2026-05-22 14:45:00+05:30,COALINDIA.NS,-0.107,0.0219,-0.0328,0.7007,1
2026-05-22 15:00:00+05:30,COALINDIA.NS,0.0383,-0.0547,0.4378,1.0617,1
2026-05-22 15:15:00+05:30,COALINDIA.NS,-0.1861,0.4928,0.7338,1.0295,1
2026-05-25 09:15:00+05:30,COALINDIA.NS,-0.1248,0.2398,0.6212,0.5776,1
2026-05-25 09:30:00+05:30,COALINDIA.NS,0.2852,0.3805,0.2935,0.2283,1
2026-05-25 09:45:00+05:30,COALINDIA.NS,0.4402,-0.0866,-0.0433,-0.2924,1
2026-05-25 10:00:00+05:30,COALINDIA.NS,-0.153,0.0434,-0.065,-0.3252,2
2026-05-25 10:15:00+05:30,COALINDIA.NS,-0.0305,-0.1084,-0.2492,-0.2384,2
2026-05-25 10:30:00+05:30,COALINDIA.NS,-0.2406,-0.141,-0.2603,-0.0868,2
2026-05-25 10:45:00+05:30,COALINDIA.NS,-0.0958,-0.1195,0.0109,0.1086,2
2026-05-25 11:00:00+05:30,COALINDIA.NS,-0.1639,0.1305,0.174,0.0761,1
2026-05-25 11:15:00+05:30,COALINDIA.NS,0.1908,0.0434,0.0977,-0.2715,1
2026-05-25 11:30:00+05:30,COALINDIA.NS,0.0222,0.0543,-0.0977,-0.3908,1
2026-05-25 11:45:00+05:30,COALINDIA.NS,0.0466,-0.1519,-0.3689,-0.3689,2
2026-05-25 12:00:00+05:30,COALINDIA.NS,-0.0508,-0.2173,-0.2934,-0.4673,2
2026-05-25 12:15:00+05:30,COALINDIA.NS,-0.1787,-0.0762,0.0,-0.2505,2
2026-05-25 12:30:00+05:30,COALINDIA.NS,-0.0792,0.0763,-0.1744,-0.3597,2
2026-05-25 12:45:00+05:30,COALINDIA.NS,0.0781,-0.2505,-0.2505,-0.4574,1
2026-05-25 13:00:00+05:30,COALINDIA.NS,-0.3409,0.0,-0.1856,-0.3057,2
2026-05-25 13:15:00+05:30,COALINDIA.NS,-0.0209,-0.1856,-0.2074,-0.2074,2
2026-05-25 13:30:00+05:30,COALINDIA.NS,-0.0805,-0.0219,-0.1203,0.2078,1
2026-05-25 13:45:00+05:30,COALINDIA.NS,-0.0206,-0.0985,0.0,0.2188,1
2026-05-25 14:00:00+05:30,COALINDIA.NS,-0.0525,0.0986,0.3286,0.3505,2
2026-05-25 14:15:00+05:30,COALINDIA.NS,0.0007,0.2298,0.2188,0.2188,1
2026-05-25 14:30:00+05:30,COALINDIA.NS,0.0768,-0.0109,0.0218,1.0916,1
2026-05-25 14:45:00+05:30,COALINDIA.NS,-0.1278,0.0327,0.0,1.2118,2
2026-05-25 15:00:00+05:30,COALINDIA.NS,0.0676,-0.0327,1.0695,1.6261,1
2026-05-25 15:15:00+05:30,COALINDIA.NS,-0.0475,1.1026,1.2118,1.7467,1
2026-05-26 09:15:00+05:30,COALINDIA.NS,0.5515,0.108,0.5507,1.069,1
2026-05-26 09:30:00+05:30,COALINDIA.NS,-0.0081,0.4422,0.5285,1.3051,1
2026-05-26 09:45:00+05:30,COALINDIA.NS,0.5388,0.0859,0.5155,1.6108,1
2026-05-26 10:00:00+05:30,COALINDIA.NS,-0.0525,0.4292,0.7725,1.706,2
2026-05-26 10:15:00+05:30,COALINDIA.NS,0.3945,0.3419,1.0897,1.3034,1
2026-05-26 10:30:00+05:30,COALINDIA.NS,0.3181,0.7453,0.9263,0.8305,1
2026-05-26 10:45:00+05:30,COALINDIA.NS,0.7326,0.1797,0.2114,-0.4439,1
2026-05-26 11:00:00+05:30,COALINDIA.NS,0.1537,0.0316,-0.0949,-0.8545,1
2026-05-26 11:15:00+05:30,COALINDIA.NS,0.0894,-0.1266,-0.6539,-1.0863,1
2026-05-26 11:30:00+05:30,COALINDIA.NS,-0.2128,-0.528,-0.7603,-1.1088,2
2026-05-26 11:45:00+05:30,COALINDIA.NS,-0.4769,-0.2335,-0.4352,-0.7749,2
2026-05-26 12:00:00+05:30,COALINDIA.NS,-0.1583,-0.2022,-0.3511,-0.7768,2
2026-05-26 12:15:00+05:30,COALINDIA.NS,-0.1686,-0.1493,-0.3412,-0.5224,2
2026-05-26 12:30:00+05:30,COALINDIA.NS,-0.1219,-0.1922,-0.4271,-0.8649,2
2026-05-26 12:45:00+05:30,COALINDIA.NS,-0.1019,-0.2354,-0.1819,-0.567,2
2026-05-26 13:00:00+05:30,COALINDIA.NS,-0.1555,0.0536,-0.4397,-0.8686,2
2026-05-26 13:15:00+05:30,COALINDIA.NS,0.0011,-0.493,-0.3858,-1.4791,2
2026-05-26 13:30:00+05:30,COALINDIA.NS,-0.4363,0.1077,-0.4308,-1.6372,2
2026-05-26 13:45:00+05:30,COALINDIA.NS,0.1912,-0.538,-1.0975,-1.3019,1
2026-05-26 14:00:00+05:30,COALINDIA.NS,-0.5044,-0.5625,-1.2116,-0.6491,2
2026-05-26 14:15:00+05:30,COALINDIA.NS,-0.5556,-0.6527,-0.2067,-0.8486,2
2026-05-26 14:30:00+05:30,COALINDIA.NS,-0.6139,0.449,0.5694,-3.9312,2
2026-05-26 14:45:00+05:30,COALINDIA.NS,0.3424,0.1199,-0.6432,-3.9573,1
2026-05-26 15:00:00+05:30,COALINDIA.NS,0.1614,-0.7622,-4.4752,-3.6912,2
2026-05-26 15:15:00+05:30,COALINDIA.NS,-0.9359,-3.7415,-3.3355,-2.4578,2
2026-05-27 09:15:00+05:30,COALINDIA.NS,2.2728,0.4217,0.8207,1.801,1
2026-05-27 09:30:00+05:30,COALINDIA.NS,0.4608,0.3973,0.9081,1.5664,1
2026-05-27 09:45:00+05:30,COALINDIA.NS,0.5538,0.5088,0.9723,1.0741,1
2026-05-27 10:00:00+05:30,COALINDIA.NS,0.2218,0.4612,0.6524,1.0911,1
2026-05-27 10:15:00+05:30,COALINDIA.NS,0.376,0.1903,0.1008,1.2876,1
