Combination,Timeframe,Rank,60,120,180,365,730,Score,Trades,Coverage,Win Rate,Avg Return,Median Return,Overall Rank
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,1,-0.146,-0.031,-0.065,-0.053,-0.059,-0.081,38,3.33,42.11,-0.146,-0.068,78
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,29,-0.126,-0.14,-0.048,-0.006,-0.054,-0.096,38,3.33,36.84,-0.126,-0.24,79
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,9,-0.092,-0.128,-0.088,-0.083,-0.049,-0.101,38,3.33,42.11,-0.092,-0.071,80
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,25,-0.022,-0.217,-0.106,-0.048,-0.054,-0.101,38,3.33,50.0,-0.022,-0.013,81
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,18,-0.159,-0.11,-0.064,-0.045,-0.025,-0.108,38,3.33,36.84,-0.159,-0.129,82
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,25,-0.135,-0.12,-0.089,-0.068,-0.031,-0.111,38,3.33,36.84,-0.135,-0.081,83
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,4,-0.13,-0.134,-0.077,-0.069,-0.023,-0.111,38,3.33,36.84,-0.13,-0.087,84
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,29,-0.192,-0.16,-0.03,-0.002,-0.023,-0.122,38,3.33,34.21,-0.192,-0.207,85
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,18,-0.182,-0.144,-0.066,-0.063,-0.046,-0.129,38,3.33,44.74,-0.166,-0.105,86
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,25,-0.099,-0.194,-0.129,-0.079,-0.051,-0.13,38,3.33,50.0,-0.099,-0.004,87
VWAP_Distance + Previous_Day_Return + RS_60,15 Min,26,-0.155,-0.158,-0.122,-0.068,-0.032,-0.136,38,3.33,26.32,-0.155,-0.146,88
VWAP_Distance + Previous_Day_Return + RS_60,60 Min,26,-0.14,-0.199,-0.19,-0.091,-0.051,-0.16,38,3.33,28.95,-0.128,-0.22,89
VWAP_Distance + Previous_Day_Return + RS_60,30 Min,26,-0.175,-0.238,-0.169,-0.083,-0.047,-0.179,38,3.33,28.95,-0.175,-0.191,90
