Datetime,Symbol,GAP,Future_15m,Future_30m,Future_60m,Rank
2026-06-16 09:15:00+05:30,SUNPHARMA.NS,0.1663,0.0721,0.0499,-0.0388,24
2026-06-17 09:15:00+05:30,SUNPHARMA.NS,0.6109,0.3694,0.0937,0.0827,4
2026-06-18 09:15:00+05:30,SUNPHARMA.NS,0.1208,-0.1533,-0.3777,-0.4981,19
2026-06-19 09:15:00+05:30,SUNPHARMA.NS,-0.0767,-0.1853,-0.0545,-0.3979,8
2026-06-22 09:15:00+05:30,SUNPHARMA.NS,0.1412,0.1251,0.0,0.5438,21
2026-06-23 09:15:00+05:30,SUNPHARMA.NS,0.2415,0.3183,0.6844,0.4669,12
2026-06-24 09:15:00+05:30,SUNPHARMA.NS,0.3058,-0.112,-0.2667,-0.1654,11
2026-06-25 09:15:00+05:30,SUNPHARMA.NS,0.1761,0.1389,0.3847,0.6357,21
2026-05-19 09:15:00+05:30,TATACONSUM.NS,-0.195,-0.1786,-0.2842,-0.2111,24
2026-05-20 09:15:00+05:30,TATACONSUM.NS,-0.3713,0.1581,0.0666,-0.2164,10
2026-05-21 09:15:00+05:30,TATACONSUM.NS,0.5212,-0.0913,-0.1411,0.0083,17
2026-05-22 09:15:00+05:30,TATACONSUM.NS,0.2259,-0.2423,0.4762,0.3091,15
2026-05-25 09:15:00+05:30,TATACONSUM.NS,-0.3188,-0.4099,-0.4099,-0.4684,28
2026-05-26 09:15:00+05:30,TATACONSUM.NS,0.3875,0.051,0.4161,0.7643,3
2026-05-27 09:15:00+05:30,TATACONSUM.NS,0.2274,-0.0084,-0.0505,0.6733,15
2026-05-29 09:15:00+05:30,TATACONSUM.NS,0.0748,-0.2815,-0.0248,-0.679,21
2026-06-01 09:15:00+05:30,TATACONSUM.NS,0.366,0.1543,0.3429,0.1286,14
2026-06-02 09:15:00+05:30,TATACONSUM.NS,-1.5113,0.0702,-0.2809,-0.2283,28
2026-06-03 09:15:00+05:30,TATACONSUM.NS,0.3628,0.0431,-0.6118,-0.3791,7
2026-06-04 09:15:00+05:30,TATACONSUM.NS,-0.5245,0.0087,0.4258,0.5214,25
2026-06-05 09:15:00+05:30,TATACONSUM.NS,0.2784,-0.3552,-0.5025,-0.979,20
2026-06-08 09:15:00+05:30,TATACONSUM.NS,-0.9727,-0.2048,-0.0979,-0.561,15
2026-06-09 09:15:00+05:30,TATACONSUM.NS,0.9309,-0.2439,-0.4607,-0.813,5
2026-06-10 09:15:00+05:30,TATACONSUM.NS,-0.271,0.347,0.8098,0.3737,26
2026-06-11 09:15:00+05:30,TATACONSUM.NS,-0.2708,-0.0269,-0.2777,-0.4569,12
2026-06-12 09:15:00+05:30,TATACONSUM.NS,1.0193,-0.0991,-0.2613,0.0451,13
2026-06-15 09:15:00+05:30,TATACONSUM.NS,1.4355,0.1357,0.0,-0.1538,12
2026-06-16 09:15:00+05:30,TATACONSUM.NS,1.1384,0.5925,0.9067,1.0593,1
2026-06-17 09:15:00+05:30,TATACONSUM.NS,-0.3272,0.3277,0.2391,0.1506,28
2026-06-18 09:15:00+05:30,TATACONSUM.NS,0.3203,0.0976,-0.3727,-0.3815,9
2026-06-19 09:15:00+05:30,TATACONSUM.NS,-0.2972,0.018,-0.4147,0.3245,16
2026-06-22 09:15:00+05:30,TATACONSUM.NS,-0.0719,-0.09,0.036,-0.135,26
2026-06-23 09:15:00+05:30,TATACONSUM.NS,0.3145,0.2593,0.3934,0.2593,9
2026-06-24 09:15:00+05:30,TATACONSUM.NS,0.272,-0.325,-0.3341,-0.0361,13
2026-06-25 09:15:00+05:30,TATACONSUM.NS,0.6015,0.3356,0.5079,-0.1542,8
2026-05-19 09:15:00+05:30,DIVISLAB.NS,0.41,-0.2163,-0.3029,-0.1731,6
2026-05-20 09:15:00+05:30,DIVISLAB.NS,-0.2966,-0.2303,0.0072,-0.4534,8
2026-05-21 09:15:00+05:30,DIVISLAB.NS,0.1668,0.0217,-0.2537,-0.4493,27
2026-05-22 09:15:00+05:30,DIVISLAB.NS,0.2257,0.0877,-0.4894,-0.6355,16
2026-05-25 09:15:00+05:30,DIVISLAB.NS,-1.6989,0.6941,1.4466,0.1023,30
2026-05-26 09:15:00+05:30,DIVISLAB.NS,-0.0222,-0.6539,-0.8842,-0.5573,21
2026-05-27 09:15:00+05:30,DIVISLAB.NS,0.6229,-0.1926,0.0593,-0.1333,5
2026-05-29 09:15:00+05:30,DIVISLAB.NS,0.3387,-0.2216,0.0295,-0.3102,14
2026-06-01 09:15:00+05:30,DIVISLAB.NS,0.3068,-0.2192,0.2419,0.6047,17
2026-06-02 09:15:00+05:30,DIVISLAB.NS,-0.3285,0.0154,0.254,0.5773,10
2026-06-03 09:15:00+05:30,DIVISLAB.NS,-0.4669,0.215,0.6295,0.3608,24
2026-06-04 09:15:00+05:30,DIVISLAB.NS,-0.0228,1.078,1.0477,0.9945,8
2026-06-05 09:15:00+05:30,DIVISLAB.NS,0.0,0.129,0.1821,0.3186,27
2026-06-08 09:15:00+05:30,DIVISLAB.NS,-0.4303,-0.06,0.3522,-0.1649,3
2026-06-09 09:15:00+05:30,DIVISLAB.NS,0.9069,1.9757,2.3784,2.3632,7
2026-06-10 09:15:00+05:30,DIVISLAB.NS,0.2589,0.3331,0.0296,0.4812,6
2026-06-11 09:15:00+05:30,DIVISLAB.NS,-0.0603,-0.0896,-0.2838,0.1269,5
2026-06-12 09:15:00+05:30,DIVISLAB.NS,0.7588,-0.3064,-0.3662,-0.1794,19
2026-06-15 09:15:00+05:30,DIVISLAB.NS,0.6483,-0.2034,-0.1205,0.1808,25
2026-06-16 09:15:00+05:30,DIVISLAB.NS,0.0831,-0.2487,-0.4296,-0.5049,26
2026-06-17 09:15:00+05:30,DIVISLAB.NS,0.3277,-0.3869,-0.3051,-0.4464,10
2026-06-18 09:15:00+05:30,DIVISLAB.NS,0.0225,-0.105,-0.2325,-0.0075,23
2026-06-19 09:15:00+05:30,DIVISLAB.NS,0.3251,-0.1184,-0.0148,-0.0518,2
2026-06-22 09:15:00+05:30,DIVISLAB.NS,0.1038,-0.2818,-0.2743,-0.0519,24
2026-06-23 09:15:00+05:30,DIVISLAB.NS,0.0368,-0.102,0.0655,0.0291,20
2026-06-24 09:15:00+05:30,DIVISLAB.NS,0.696,-0.4634,-0.7577,-0.7871,3
2026-06-25 09:15:00+05:30,DIVISLAB.NS,0.1036,0.1633,-0.2005,-0.2227,23
