Datetime,Symbol,Gap,Previous_Day_Return,RVOL,ORB_High,ORB_Low,ORB_Range,ORB_Percent,ORB_Body,VWAP_Distance,ATR_Percent,EMA20_Distance,Future_15m,Future_30m,Future_60m,RS_15,RS_30,RS_60,Rank
2026-04-28 09:15:00+05:30,SUPREMEIND.NS,0.5702,-0.2681,2.4298,3760.0,3687.0,73.0,1.9708,1.3391,0.5375,1.199,1.3904,-0.8951,-1.5106,-2.3338,1.9169,1.6437,1.892,2
2026-04-27 09:15:00+05:30,SUZLON.NS,0.742,0.0557,2.0495,55.33,54.31,1.02,1.8781,1.0864,0.0972,0.6271,2.2724,0.4372,1.1475,2.0765,1.8364,1.8931,2.0256,3
2026-05-27 09:15:00+05:30,SUZLON.NS,0.348,-0.0915,1.6439,55.84,54.42,1.42,2.5917,0.8396,0.145,0.574,1.0622,-0.1991,-0.2715,0.5611,1.1905,1.0979,1.6185,2
2026-06-04 09:15:00+05:30,SUZLON.NS,-0.2391,-0.1469,2.3136,55.74,54.06,1.68,3.0973,2.6364,0.9307,0.6749,2.8166,-0.6107,-0.0898,-0.4491,2.391,2.2406,2.7311,1
2026-04-10 09:15:00+05:30,VOLTAS.NS,0.7545,0.2652,1.7491,1312.5,1291.0,21.5,1.6598,0.0154,-0.3206,0.7085,2.0089,-0.2779,0.4245,-0.2624,0.7701,1.0373,1.7675,3
2026-04-20 09:15:00+05:30,VOLTAS.NS,0.1938,0.389,2.3734,1471.0,1432.5,38.5,2.659,1.0084,0.4924,0.5006,2.2861,-0.6632,-0.7863,-1.1761,1.2041,1.5978,2.1656,1
2026-04-27 09:15:00+05:30,VOLTAS.NS,1.4658,-0.3889,5.8137,1508.6,1480.1,28.5,1.9239,1.2961,0.2784,0.6983,2.9982,0.753,0.5065,0.4265,2.7808,2.3811,2.6613,2
2026-05-19 09:15:00+05:30,VOLTAS.NS,-0.0159,0.2717,1.8696,1284.6,1254.7,29.9,2.383,2.2316,0.6829,0.6432,3.1394,0.0,-0.2261,0.4366,2.2153,2.493,2.9124,2
2026-06-04 09:15:00+05:30,VOLTAS.NS,-0.5829,0.1865,12.6746,1277.5,1220.0,57.5,4.682,2.6708,0.6466,0.6928,2.4544,1.9351,3.4816,2.3475,2.0724,2.2628,2.2048,2
2026-06-15 09:15:00+05:30,VOLTAS.NS,2.4803,-0.2722,2.8522,1314.7,1306.1,8.6,0.6545,0.0,0.1779,0.5551,2.1535,0.274,0.1522,0.86,2.4803,2.2013,2.4963,2
2026-06-17 09:15:00+05:30,VOLTAS.NS,-0.128,-0.0301,3.9427,1369.0,1326.3,42.7,3.2195,2.933,0.8644,0.507,2.5712,0.4908,0.5347,0.3662,2.8012,2.7702,3.0417,1
2026-06-22 09:15:00+05:30,VOLTAS.NS,3.6688,0.529,11.4783,1410.0,1391.2,18.8,1.3441,0.2574,0.0809,0.7279,3.5846,-2.4745,-2.5458,-3.0093,3.9357,4.4855,4.4699,1
